No. OT,Mes de Venta,Mes de Impartición,Cliente,Rubro,Programa,Promotor,  Contratado OT,Gastos OT,Contribución Marginal,% Contribución Marginal Real,No. Factura,Facturado,% vs OT,Fecha Deposito,Cobrado,% vs Factura,Por Cobrar,Por Facturar,Impartición,Desarrollo,Materiales,Arrendamientos,Viáticos,Alimentos y Otros,Total,Comprobación,Inicial,Final,% Contribución Marginal Inicial,Diferencia vs Inicial
16,Enero,,CODERE,Impartición,Licenciatura,Dirección,"1,599,342.75","454,000","1,145,343",72%,VARIAS,"1,599,342.75",100%,14-mar-17,"1,100,000.00",69%,"499,343",0,"374,000.00","25,000.00","35,000.00","20,000.00",,,"454,000.00",0.00,X,,59%,12.9%
17,Enero,,SURA,Impartición,Megatendencias,Daniel Solano,"60,000.00","19,139","40,861",68%,,,0%,,,#¡DIV/0!,0,"-60,000","15,000.00","3,000.00","1,138.64",,,,"19,138.64",0.00,X,,68%,0.0%
18,Enero,,BANCOMER,Desarrollo,Fiduciario,Daniel Solano,"438,000.00","105,140","332,860",76%,EMP117357,"438,000.00",100%,15-feb-17,"438,000.00",100%,0,0,,"104,600.00",540.00,,,,"105,140.00",0.00,X,X,54%,22.1%
19,Enero,,EL POTOSÍ,Impartición,Liderazgo Transformacional,Susana Hernández,"134,000.00","63,725","70,275",52%,"EMP116179,EMP119548","100,500.00",75%,15-feb-17,"100,500.00",100%,0,"-33,500","51,850.00","9,620.00","2,255.26",,,,"63,725.26",0.00,X,X,67%,-14.7%
20,Enero,,PPG,Impartición,Curso Optimización del Capital de Trabajo,Susana Hernández,"110,400.00","49,764","60,636",55%,EMP117358,"55,200.00",50%,21-mar-17,"55,200.00",100%,0,"-55,200","27,900.00","14,300.00","4,563.56",,"1,000.00","2,000.00","49,763.56",0.00,X,,55%,0.0%
21,Enero,,LOREAL,Impartición,Curso Excel,Isaura Ruiz,"69,600.00","12,116","57,484",83%,EMP118718,"69,600.00",100%,,,0%,"69,600",0,"12,000.00",,116.06,,,,"12,116.06",0.00,X,X,83%,0.0%
22,Enero,,CODERE,Impartición,Diplomado Líderes,Antonio Villagrán,"540,000.00","115,659.52","424,340",79%,VARIAS,"540,000.00",100%,26-ene-17,"540,000.00",100%,0,0,"112,500.00",,"3,159.52",,,,"115,659.52",0.00,X,,79%,0.0%
23,Enero,,NUBAJ,Impartición,Competencia 1,Antonio Villagrán,"91,000.00","33,772.60","57,227",63%,"EMP110470,EMP118924","91,000.00",100%,10-feb-17,"91,000.00",100%,0,0,"29,700.00",,"3,507.60",,,565.00,"33,772.60",0.00,X,X,60%,2.5%
24,Enero,,NUBAJ,Impartición,Competencia 2,Antonio Villagrán,"91,000.00","18,075.00","72,925",80%,EMP118924,"91,000.00",100%,10-feb-17,"91,000.00",100%,0,0,"16,560.00",,950.00,,,565.00,"18,075.00",0.00,X,X,86%,-5.9%
25,Enero,,NUBAJ,Impartición,Competencia 3,Antonio Villagrán,"91,000.00","18,075.00","72,925",80%,EMP118924,"91,000.00",100%,10-feb-17,"91,000.00",100%,0,0,"16,560.00",,950.00,,,565.00,"18,075.00",0.00,X,X,86%,-5.9%
26,Enero,,NUBAJ,Impartición,Competencia 4,Antonio Villagrán,"91,000.00","12,653.20","78,347",86%,EMP118924,"91,000.00",100%,10-feb-17,"91,000.00",100%,0,0,"12,000.00",,653.20,,,,"12,653.20",0.00,X,,86%,0.0%
27,Enero,,NUBAJ,Impartición,Competencia 5,Antonio Villagrán,"91,000.00","12,653.20","78,347",86%,EMP118924,"45,500.00",50%,10-feb-17,"45,500.00",100%,0,"-45,500","12,000.00",,653.20,,,,"12,653.20",0.00,X,,86%,0.0%
28,Enero,,NUBAJ,Impartición,Competencia 6,Antonio Villagrán,"91,000.00","12,653.20","78,347",86%,,,0%,,,#¡DIV/0!,0,"-91,000","12,000.00",,653.20,,,,"12,653.20",0.00,X,,86%,0.0%
29,Enero,,NUBAJ,Impartición,Competencia 7,Antonio Villagrán,"91,000.00","12,653.20","78,347",86%,,,0%,,,#¡DIV/0!,0,"-91,000","12,000.00",,653.20,,,,"12,653.20",0.00,X,,86%,0.0%
30,Enero,,NUBAJ,Impartición,Competencia 8,Antonio Villagrán,"91,000.00","12,653.20","78,347",86%,,,0%,,,#¡DIV/0!,0,"-91,000","12,000.00",,653.20,,,,"12,653.20",0.00,X,,86%,0.0%
31,Enero,,NUBAJ,Impartición,Competencia 9,Antonio Villagrán,"91,000.00","12,653.20","78,347",86%,,,0%,,,#¡DIV/0!,0,"-91,000","12,000.00",,653.20,,,,"12,653.20",0.00,X,,86%,0.0%
32,Enero,,NUBAJ,Impartición,Competencia 10,Antonio Villagrán,"91,000.00","12,653.20","78,347",86%,,,0%,,,#¡DIV/0!,0,"-91,000","12,000.00",,653.20,,,,"12,653.20",0.00,X,,86%,0.0%
33,Enero,,G MARTÍ,Consultoría,Evaluaciones de Potencial,Fabiola Galvan,"31,500.00","28,000.00","3,500",11%,"EMP128160,EMP128262","31,500.00",100%,,,0%,"31,500",0,"28,000.00",,,,,,"28,000.00",0.00,X,X,20%,-8.9%
34,Enero,,FIFOMI,Impartición,Conferencia Reformas Fiscales,Yefte Hernández,"12,500.00","3,445.54","9,054",72%,EMP124513,"12,500.00",100%,07-mar-17,"71,604.00",573%,"-59,104",0,"2,500.00",,945.54,,,,"3,445.54",0.00,X,X,69%,3.0%
35,Enero,,COMEX,Impartición,Diplomado Continuación,Yefte Hernández,"84,233.35","51,909.90","32,323",38%,"EMP110123,EMP110124,EMP114442","84,233.35",100%,09-mar-17,"84,233.35",100%,0,0,"39,560.00",,"9,349.90","3,000.00",,,"51,909.90",0.00,X,,38%,0.0%
36,Febrero,,ARG,Impartición,Módulo 16,Antonio Villagrán,"50,000.00","12,970.00","37,030",74%,EMP123140,"50,000.00",100%,17-mar-17,"50,000.00",100%,0,0,"10,500.00",,"2,170.00",300.00,,,"12,970.00",0.00,X,X,84%,-9.6%
37,Febrero,,ARG,Impartición,Laboratorio 2,Antonio Villagrán,"50,000.00","11,374.24","38,626",77%,EMP126384,"50,000.00",100%,,,0%,"50,000",0,"10,500.00",,474.24,400.00,,,"11,374.24",0.00,X,X,84%,-6.4%
38,Febrero,,ARG,Impartición,Laboratorio 3,Antonio Villagrán,"50,000.00","7,862.81","42,137",84%,,,0%,,,#¡DIV/0!,0,"-50,000","5,680.00",,"1,782.81",400.00,,,"7,862.81",0.00,X,,84%,0.0%
39,Febrero,,ARG,Impartición,Módulo 17,Antonio Villagrán,"50,000.00","8,151.06","41,849",84%,EMP125611,"50,000.00",100%,,,0%,"50,000",0,"5,680.00",,"2,071.06",400.00,,,"8,151.06",0.00,X,,84%,0.0%
40,Febrero,,ARG,Impartición,Módulo 18,Antonio Villagrán,"50,000.00","11,474.00","38,526",77%,,,0%,,,#¡DIV/0!,0,"-50,000","10,500.00",,574.00,400.00,,,"11,474.00",0.00,X,X,84%,-6.6%
41,Febrero,,ARG,Impartición,Módulo 19,Antonio Villagrán,"50,000.00","7,862.81","42,137",84%,,,0%,,,#¡DIV/0!,0,"-50,000","5,680.00",,"1,782.81",400.00,,,"7,862.81",0.00,X,,84%,0.0%
42,Febrero,,ARG,Impartición,Módulo 20,Antonio Villagrán,"50,000.00","7,862.81","42,137",84%,,,0%,,,#¡DIV/0!,0,"-50,000","5,680.00",,"1,782.81",400.00,,,"7,862.81",0.00,X,,84%,0.0%
43,Febrero,,BANCOMER,Impartición,Módulo 1,Daniel Solano,"32,000.00","8,000.00","24,000",75%,,,0%,,,#¡DIV/0!,0,"-32,000","8,000.00",,,,,,"8,000.00",0.00,X,,75%,0.0%
44,Febrero,,UPL AGRO,Impartición,Coaching Ejecutivo,Fabiola Galvan,"48,491.38","26,560.00","21,931",45%,EMP122908,"48,491.38",100%,24-feb-17,"48,491.38",100%,0,0,"26,400.00",,160.00,,,,"26,560.00",0.00,X,,45%,0.0%
45,Febrero,,Allianz,Impartición,Finanzas para no financieros,Karen Sola,"33,000.00","12,254.92","20,745",63%,,,0%,,,#¡DIV/0!,0,"-33,000","6,000.00","5,000.00","1,254.92",,,,"12,254.92",0.00,X,,63%,0.0%
46,Febrero,,Interceramic,Impartición,Branding Personal,Karen Sola,"37,000.00","13,721.76","23,278",63%,EMP131682,"37,000.00",100%,19-abr-17,"37,000.00",100%,0,0,"11,800.00",,"1,921.76",,,0.00,"13,721.76",0.00,X,X,60%,3.0%
47,Marzo,,EBC,Impartición,Taller Gestión del Cambio,Antonio Villagrán,"113,200.00","49,708.25","63,492",56%,,,0%,,,#¡DIV/0!,0,"-113,200","13,250.00",0.00,"4,589.57",,"31,868.68",,"49,708.25",0.00,X,X,59%,-2.5%
48,Marzo,,EBC,Desarrollo,Simulador ,Antonio Villagrán,"520,000.00","238,000.00","282,000",54%,,,0%,,,#¡DIV/0!,0,"-520,000",,"238,000.00",,,,,"238,000.00",0.00,X,,54%,0.0%
49,Marzo,,EBC,Desarrollo,Inducción,Antonio Villagrán,"200,000.00","75,000.00","125,000",63%,,,0%,,,#¡DIV/0!,0,"-200,000",,"75,000.00",,,,,"75,000.00",0.00,X,,63%,0.0%
50,Marzo,,EBC,Impartición,Taller Interno,Fernando Morales,0.00,"8,238.90","-8,239",0%,,,#¡DIV/0!,,,#¡DIV/0!,0,0,"3,200.00",,"2,284.75",,,"2,754.15","8,238.90",0.00,X,,0%,0.0%
51,Marzo,,GRUPO FARMACOS,Impartición,Formación de Instructores,Yefte Hernández,"45,000.00","14,348.65","30,651",68%,EMP132264,"45,000.00",100%,,,0%,"45,000",0,"13,000.00",,"1,348.65",,,,"14,348.65",0.00,X,X,66%,1.9%
52,Marzo,,SGM,Impartición,Conferencia,Isaura Ruiz,"19,000.00","6,198.60","12,801",67%,,,0%,,,#¡DIV/0!,0,"-19,000","5,000.00",,698.60,,500.00,,"6,198.60",0.00,X,,67%,0.0%
53,Marzo,,A. TOWER,Desarrollo,Lista de Verificación,Iván Sandoval,"25,000.00","9,257.50","15,743",63%,,,0%,,,#¡DIV/0!,0,"-25,000","1,600.00","7,500.00",157.50,,,,"9,257.50",0.00,X,,63%,0.0%
54,Marzo,,A. TOWER,Consultoría,Campaña de Comunicación,Iván Sandoval,"20,800.00","9,603.15","11,197",54%,,,0%,,,#¡DIV/0!,0,"-20,800","9,600.00",,3.15,,,,"9,603.15",0.00,X,,54%,0.0%
55,Marzo,,A. TOWER,Impartición,Protocolo de Servicios,Iván Sandoval,"180,000.00","76,752.50","103,248",57%,,,0%,,,#¡DIV/0!,0,"-180,000","54,000.00",,"22,752.50",,,,"76,752.50",0.00,X,,57%,0.0%
56,Marzo,,BIMBO,Impartición, Especialidad 4G Finanzas G1,Dirección,"94,350.00","17,557.06","76,793",81%,"EMP128268,EMP128269","94,350.00",100%,17-abr-17,"94,350.00",100%,0,0,"16,500.00",,507.06,550.00,,,"17,557.06",0.00,X,X,81%,0.2%
57,Marzo,,BIMBO,Impartición, Especialidad 4G Finanzas G2,Dirección,"94,350.00","17,319.46","77,031",82%,"EMP128268,EMP128269","94,350.00",100%,17-abr-17,"94,350.00",100%,0,0,"16,500.00",,269.46,550.00,,,"17,319.46",0.00,X,X,81%,0.5%
58,Marzo,,BIMBO,Impartición, Especialidad 4G Finanzas G3,Dirección,"94,350.00","17,319.46","77,031",82%,"EMP128268,EMP128269","94,350.00",100%,17-abr-17,"94,350.00",100%,0,0,"16,500.00",,269.46,550.00,,,"17,319.46",0.00,X,X,81%,0.4%
59,Marzo,,BIMBO,Impartición, Especialidad 4G Finanzas G4,Dirección,"94,350.00","25,767.46","68,583",73%,"EMP128268,EMP128269","94,350.00",100%,17-abr-17,"94,350.00",100%,0,0,"16,500.00",,"8,717.46",550.00,,,"25,767.46",0.00,X,X,72%,0.4%
60,Marzo,,BIMBO,Impartición, Especialidad 4G Análisis G1,Dirección,"142,725.00","17,100.00","125,625",88%,"EMP128268,EMP128269","142,725.00",100%,17-abr-17,"142,725.00",100%,0,0,"16,500.00",,,600.00,,,"17,100.00",0.00,X,X,82%,5.8%
61,Marzo,,BIMBO,Impartición, Especialidad 4G Análisis G2,Dirección,"142,725.00","17,100.00","125,625",88%,"EMP128268,EMP128269","142,725.00",100%,17-abr-17,"142,725.00",100%,0,0,"16,500.00",,,600.00,,,"17,100.00",0.00,X,X,82%,5.8%
62,Marzo,,BIMBO,Impartición, Especialidad 4G Análisis G3,Dirección,"142,725.00","17,100.00","125,625",88%,"EMP128268,EMP128269","142,725.00",100%,17-abr-17,"142,725.00",100%,0,0,"16,500.00",,,600.00,,,"17,100.00",0.00,X,X,82%,5.8%
63,Marzo,,BIMBO,Impartición, Especialidad 4G Análisis G4,Dirección,"142,725.00","17,100.00","125,625",88%,"EMP128268,EMP128269","142,725.00",100%,17-abr-17,"142,725.00",100%,0,0,"16,500.00",,,600.00,,,"17,100.00",0.00,X,X,82%,5.8%
64,Marzo,,BIMBO,Impartición, Especialidad 4G Admon Riesgos G1,Dirección,"142,725.00","25,320.00","117,405",82%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,"8,820.00",,,"25,320.00",0.00,X,,82%,0.0%
65,Marzo,,BIMBO,Impartición, Especialidad 4G Admon Riesgos G2,Dirección,"142,725.00","25,320.00","117,405",82%,,,100%,,,0%,"142,725",0,"16,500.00",,,"8,820.00",,,"25,320.00",0.00,X,,82%,0.0%
66,Marzo,,BIMBO,Impartición, Especialidad 4G Admon Riesgos G3,Dirección,"142,725.00","25,320.00","117,405",82%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,"8,820.00",,,"25,320.00",0.00,X,,82%,0.0%
67,Marzo,,BIMBO,Impartición, Especialidad 4G Admon Riesgos G4,Dirección,"142,725.00","25,320.00","117,405",82%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,"8,820.00",,,"25,320.00",0.00,X,,82%,0.0%
68,Marzo,,BIMBO,Impartición, Especialidad 4G Competencias Gerenciales G1,Dirección,"142,725.00","25,320.00","117,405",82%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,"8,820.00",,,"25,320.00",0.00,X,,82%,0.0%
69,Marzo,,BIMBO,Impartición, Especialidad 4G Competencias Gerenciales G2,Dirección,"142,725.00","17,220.00","125,505",88%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,720.00,,,"17,220.00",0.00,X,,88%,0.0%
70,Marzo,,BIMBO,Impartición, Especialidad 4G Competencias Gerenciales G3,Dirección,"142,725.00","17,220.00","125,505",88%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,720.00,,,"17,220.00",0.00,X,,88%,0.0%
71,Marzo,,BIMBO,Impartición, Especialidad 4G Competencias Gerenciales G4,Dirección,"142,725.00","17,220.00","125,505",88%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,720.00,,,"17,220.00",0.00,X,,88%,0.0%
72,Marzo,,BIMBO,Impartición, Especialidad 4G Riesgos Empresariales G1,Dirección,"142,725.00","17,220.00","125,505",88%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,720.00,,,"17,220.00",0.00,X,,88%,0.0%
73,Marzo,,BIMBO,Impartición, Especialidad 4G Riesgos Empresariales G2,Dirección,"142,725.00","17,220.00","125,505",88%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,720.00,,,"17,220.00",0.00,X,,88%,0.0%
74,Marzo,,BIMBO,Impartición, Especialidad 4G Riesgos Empresariales G3,Dirección,"142,725.00","17,220.00","125,505",88%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,720.00,,,"17,220.00",0.00,X,,88%,0.0%
75,Marzo,,BIMBO,Impartición, Especialidad 4G Riesgos Empresariales G4,Dirección,"142,725.00","17,220.00","125,505",88%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,720.00,,,"17,220.00",0.00,X,,88%,0.0%
76,Marzo,,BIMBO,Impartición, Especialidad 4G NIFS G1,Dirección,"142,725.00","17,220.00","125,505",88%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,720.00,,,"17,220.00",0.00,X,,88%,0.0%
77,Marzo,,BIMBO,Impartición, Especialidad 4G NIFS G2,Dirección,"142,725.00","17,220.00","125,505",88%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,720.00,,,"17,220.00",0.00,X,,88%,0.0%
78,Marzo,,BIMBO,Impartición, Especialidad 4G NIFS G3,Dirección,"142,725.00","17,220.00","125,505",88%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,720.00,,,"17,220.00",0.00,X,,88%,0.0%
79,Marzo,,BIMBO,Impartición, Especialidad 4G ASPECTOS LEGALES G1,Dirección,"142,725.00","17,220.00","125,505",88%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,720.00,,,"17,220.00",0.00,X,,88%,0.0%
80,Marzo,,BIMBO,Impartición, Especialidad 4G ASPECTOS LEGALES G2,Dirección,"142,725.00","17,220.00","125,505",88%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,720.00,,,"17,220.00",0.00,X,,88%,0.0%
81,Marzo,,BIMBO,Impartición, Especialidad 4G ASPECTOS LEGALES G3,Dirección,"142,725.00","17,220.00","125,505",88%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,720.00,,,"17,220.00",0.00,X,,88%,0.0%
82,Marzo,,BIMBO,Impartición, Especialidad 5G Riesgos Empresariales G1,Dirección,"142,725.00","17,100.00","125,625",88%,"EMP128268,EMP128269","142,725.00",100%,17-abr-17,"142,725.00",100%,0,0,"16,500.00",,,600.00,,,"17,100.00",0.00,X,X,88%,0.1%
83,Marzo,,BIMBO,Impartición, Especialidad 5G Riesgos Empresariales G2,Dirección,"142,725.00","17,100.00","125,625",88%,"EMP128268,EMP128269","142,725.00",100%,17-abr-17,"142,725.00",100%,0,0,"16,500.00",,,600.00,,,"17,100.00",0.00,X,X,88%,0.1%
84,Marzo,,BIMBO,Impartición, Especialidad 5G NIFS G1,Dirección,"142,725.00","17,220.00","125,505",88%,"EMP128268,EMP128269","81,425.00",57%,17-abr-17,"81,425.00",100%,0,"-61,300","16,500.00",,,720.00,,,"17,220.00",0.00,X,X,88%,0.0%
85,Marzo,,BIMBO,Impartición, Especialidad 5G NIFS G2,Dirección,"142,725.00","17,100.00","125,625",88%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,600.00,,,"17,100.00",0.00,X,X,88%,0.1%
86,Marzo,,BIMBO,Impartición, Especialidad 5G Aspectos Legales G1,Dirección,"142,725.00","17,100.00","125,625",88%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,600.00,,,"17,100.00",0.00,X,X,88%,0.1%
87,Marzo,,BIMBO,Impartición, Especialidad 5G Política Presupuestal G1,Dirección,"142,725.00","17,220.00","125,505",88%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,720.00,,,"17,220.00",0.00,X,,88%,0.0%
88,Marzo,,BIMBO,Impartición, Especialidad 5G Evaluación de Proyectos G1,Dirección,"142,725.00","17,220.00","125,505",88%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,720.00,,,"17,220.00",0.00,X,,88%,0.0%
89,Marzo,,BIMBO,Impartición, Especialidad 5G Control Interno G1,Dirección,"142,725.00","17,220.00","125,505",88%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,,720.00,,,"17,220.00",0.00,X,,88%,0.0%
90,Marzo,,G MARTÍ,Consultoría,Evaluaciones de Potencial,Fabiola Galvan,"24,500.00","19,600.00","4,900",20%,"EMP129878,EMP129879","24,500.00",100%,,,0%,"24,500",0,"19,600.00",,,,,,"19,600.00",0.00,X,X,20%,0.0%
92,Marzo,,MIZOHU BANK,Impartición,Actualización Fiscal,Ivan Sandoval,"15,250.00","5,996.70","9,253",61%,,,0%,,,#¡DIV/0!,0,"-15,250","5,000.00",,996.70,,,,"5,996.70",0.00,X,,61%,0.0%
97,Abril,,BIMBO,Impartición,"Especialidad: Casos de CI. 3a Gen, Gpo 1",Dirección,"138,600.00","17,100.00","121,500",88%,,,0%,,,#¡DIV/0!,0,"-138,600","16,500.00",,,600.00,,,"17,100.00",0.00,X,X,82%,5.9%
98,Abril,,BIMBO,Impartición,"Especialidad: Casos de CI. 3a Gen, Gpo 2",Dirección,"138,600.00","17,100.00","121,500",88%,,,0%,,,#¡DIV/0!,0,"-138,600","16,500.00",,,600.00,,,"17,100.00",0.00,X,X,82%,5.9%
99,Abril,,BIMBO,Impartición,"Especialidad: Mejora continua del CI. 3a Gen, Gpo 1",Dirección,"138,600.00","17,100.00","121,500",88%,,,0%,,,#¡DIV/0!,0,"-138,600","16,500.00",,,600.00,,,"17,100.00",0.00,X,X,82%,5.9%
100,Abril,,BIMBO,Impartición,"Especialidad: Mejora continua del CI. 3a Gen, Gpo 2",Dirección,"138,600.00","17,100.00","121,500",88%,,,0%,,,#¡DIV/0!,0,"-138,600","16,500.00",,,600.00,,,"17,100.00",0.00,X,X,82%,5.9%
101,Abril,,BIMBO,Impartición,"Especialidad: Mejora continua dell control interno, 5a Gen Grupo1",Dirección,"142,725.00","17,811.54","124,913",88%,,,0%,,,#¡DIV/0!,0,"-142,725","16,500.00",,591.54,720.00,,,"17,811.54",0.00,X,,88%,0.0%
102,Abril,,BOSCH,Desarrollo,Manual del Mentor,Susana Hernández,"35,600.00","14,400.00","21,200",60%,,,0%,,,#¡DIV/0!,0,"-35,600",,"11,200.00","2,700.00",,,500.00,"14,400.00",0.00,X,,60%,0.0%
103,Abril,,COFICAB,Impartición,Curso-Taller Administración de proyectos,Susana Hernández,"70,000.00","27,868.81","42,131",60%,,,0%,,,#¡DIV/0!,0,"-70,000","22,550.00",,938.81,"2,400.00",,"1,980.00","27,868.81",0.00,X,,60%,0.0%
104,Abril,,BNP PARIBÁS,Impartición,Programa para la prevención y detección de fraudes,Daniel Solano,"112,000.00","26,094.50","85,906",77%,,,0%,,,#¡DIV/0!,0,"-112,000","14,500.00","10,500.00","1,094.50",,,,"26,094.50",0.00,X,,77%,0.0%
105,Abril,,GRUPO MORSA,Impartición,Programa de actualización para el área de crédito y cobranza,Antonio Villagrán,"26,000.00","5,898.80","20,101",77%,,,0%,,,#¡DIV/0!,0,"-26,000","4,550.00",,"1,348.80",,,,"5,898.80",0.00,X,X,73%,4.6%
106,Abril,,SEDESO ,Desarrollo,Taller Emprendiendo y administrando mi Panadería,Fabiola Galvan,"150,000.00","47,617.30","102,383",68%,,,0%,,,#¡DIV/0!,0,"-150,000","27,000.00","13,000.00","7,617.30",,,,"47,617.30",0.00,X,,68%,0.0%
107,Abril,,SEDESO ,Impartición,Taller Emprendiendo y administrando mi Panadería,Fabiola Galvan,"750,000.00","212,646.00","537,354",72%,,,0%,,,#¡DIV/0!,0,"-750,000","180,000.00",,"32,646.00",,,,"212,646.00",0.00,X,,72%,0.0%
108,Abril,,SEDESO ,Impartición,Taller Emprendiendo y administrando mi Panadería,Fabiola Galvan,"50,000.00","12,000.00","38,000",76%,,,0%,,,#¡DIV/0!,0,"-50,000","12,000.00",,,,,,"12,000.00",0.00,X,,76%,0.0%
