ID Empresa:,,,,,,,,,,,
RFC:,,,,,,,,,,,
Folio:,,,,,,,,,,,
Fecha Inicial:,,,,,,,,,,,
Fecha Final:,,,,,,,,,,,
Pagos,,,,,,,,,Factura,,
ID,Usuario,Fecha de elaboración,Tipo de factura,Importe,Conceptos,Empresa,Serie,Rfc,Folio,Fecha de factura,Estatus
67,g.velazquez004,05/07/2017,FACTURA,41530.32,"DESARROLLO DE ARTÍCULOS 2017, 7 DE 12.. ",EBC,EMP,AME860107KD9,143752,05/07/2017,FACTURADO
3,g.velazquez004,04/07/2017,FACTURA,17400,3 EVALUACIONES DE POTENCIAL.. ,EBC,EMP,AAC030707E87,143648,04/07/2017,FACTURADO
78,g.velazquez004,04/07/2017,FACTURA,12180,Esta factura sustituye al folio EMP129879 de fecha 06-04-2017 por concepto de: APLICACIÓN DE EVALUACIONES DE POTENCIAL 2017.. ,EBC,EMP,AIL0501146I3,143645,04/07/2017,FACTURADO
77,g.velazquez004,04/07/2017,FACTURA,16240,Esta factura sustituye al folio EMP129878 de fecha 06-04-2017 por concepto de: APLICACIÓN DE EVALUACIONES DE POTENCIAL 2017.. ,EBC,EMP,AIF050114QM3,143644,04/07/2017,FACTURADO
1568,g.velazquez004,04/07/2017,FACTURA,263900,"ESCUELA DE LIDERAZGO, 4 DE 5.. ",EBC,EMP,NUB130904HN0,143624,04/07/2017,FACTURADO
464,g.velazquez004,04/07/2017,FACTURA,58000,"MÓDULO 20, IMPARTICIÓN DEL PROGRAMA INSTITUCIONAL.. ",EBC,EMP,ARG990409TB3,143623,04/07/2017,FACTURADO
3,g.velazquez004,03/07/2017,FACTURA,75400,13 EVALUACIONES DE POTENCIAL.. ,EBC,EMP,AAC030707E87,143484,03/07/2017,CANCELADO
1740,g.velazquez004,20/06/2017,FACTURA,129920,PROGRAMA DE CAPACITACIÓN PARA LA PREVENCIÓN Y DETECCIÓN DE FRAUDES.. ,EBC,EMP,CSE000218M35,141799,20/06/2017,FACTURADO
1140,g.velazquez004,19/06/2017,FACTURA,52200,"S030400001 CURSO: ""EVALUACIÓN DE RIESGOS"", LOS DÍAS 15,17,19,22,24,26,29, Y 31 DE MAYO DE  2017, DE  16:30 A 19:00 HORAS. DURACIÓN TOTAL: 20 HORAS. CONFORME A COTIZACIÓN ANEXA.. ",EBC,EMP,HCD1108216E6,141561,19/06/2017,FACTURADO
507,g.velazquez004,14/06/2017,FACTURA,626400,DIPLOMADO LÍDERES EN DESARROLLO.. ,EBC,EMP,PCM140723MTA,139881,14/06/2017,FACTURADO
2106,g.velazquez004,12/06/2017,FACTURA,36656,CURSO: ESTADOS Y ANÁLISIS FINANCIEROS.. ,EBC,EMP,MBM1602257N2,139231,12/06/2017,FACTURADO
266,g.velazquez004,08/06/2017,FACTURA,265640,"ESTA FACTURA SUSTITUYE AL FOLIO EMP133757 DE FECHA 03 DE MAYO 2017 POR CONCEPTO DE:  MÓDULO 1 VIDEOS-CERTIFICACIÓN GOBIERNO, ACTUALIZACIÓN LIBRO ELECTRÓNICO-BMI, IMPARTICIÓN MÓDULO 1-CERTIFICACIÓN GOBIERNO. PEDIDO: 8800017746, ACEPTACIÓN: 5002058519. FECHA DE PAGO: 07 DE JUNIO 2017.. ",EBC,EMP,BBS001025HP2,138767,08/06/2017,FACTURADO
1,g.velazquez004,07/06/2017,FACTURA,34800,TALLER CULTURA DE SERVICIO (GRUPO 7). ,EBC,EMP,MSE991014MY8,138643,07/06/2017,FACTURADO
1,g.velazquez004,07/06/2017,FACTURA,34800,TALLER CULTURA DE SERVICIO (GRUPO 6). ,EBC,EMP,MSE991014MY8,138642,07/06/2017,FACTURADO
1,g.velazquez004,07/06/2017,FACTURA,75400,TALLER CULTURA DE SERVICIO (GRUPO 4 Y 5). ,EBC,EMP,MSE991014MY8,138641,07/06/2017,FACTURADO
67,g.velazquez004,06/06/2017,FACTURA,41530.32,"DESARROLLO DE ARTÍCULOS 2017, 6 DE 12.. ",EBC,EMP,AME860107KD9,138509,06/06/2017,FACTURADO
464,g.velazquez004,06/06/2017,FACTURA,58000,IMPARTICIÓN DE PROGRAMA INSTITUCIONAL. MÓDULO 19.. ,EBC,EMP,ARG990409TB3,138508,06/06/2017,FACTURADO
508,g.velazquez004,05/06/2017,FACTURA,98020,TALLER DE CERTIFICACIÓN DE CARTERA CREDITICIA.. ,EBC,EMP,YKI1202167J4,138347,05/06/2017,FACTURADO
1588,g.velazquez004,05/06/2017,FACTURA,55216,CERTIFICACIÓN EBC EN VENTAS.. ,EBC,EMP,CCI960315U75,138346,05/06/2017,FACTURADO
8,g.velazquez004,01/06/2017,FACTURA,937775,"SERVICIOS EDUCATIVOS PARA LA ESPECIALIDAD EN CONTROL INTERNO CON RECONOCIMIENTO DE VALIDEZ OFICIAL, OPERACIÓN 2017. 2 DE 3.. ",EBC,EMP,BIM011108DJ5,138120,01/06/2017,FACTURADO
507,g.velazquez004,01/06/2017,FACTURA,540000,DIPLOMADO LÍDERES EN DESARROLLO.. ,EBC,EMP,PCM140723MTA,138116,01/06/2017,CANCELADO
1,g.velazquez004,01/06/2017,FACTURA,116000,"TALLER CULTURA DE SERVICIO (GRUPOS: 1, 2, y 3).. ",EBC,EMP,MSE991014MY8,138114,01/06/2017,FACTURADO
2061,g.velazquez004,24/05/2017,FACTURA,15080,"TALLER DE ACTUALIZACIÓN EN CRÉDITO Y COBRANZA, 2 DE 2.. ",EBC,EMP,VCO061219RG3,137295,24/05/2017,FACTURADO
2061,g.velazquez004,24/05/2017,FACTURA,15080,"TALLER DE ACTUALIZACIÓN EN CRÉDITO Y COBRANZA, 1 DE 2.. ",EBC,EMP,VCO061219RG3,137294,24/05/2017,FACTURADO
3,g.velazquez004,23/05/2017,FACTURA,58000,10 EVALUACIONES DE POTENCIAL.. ,EBC,EMP,AAC030707E87,137115,23/05/2017,FACTURADO
2058,g.velazquez004,23/05/2017,FACTURA,35264,"TÉCNICAS EFECTIVAS PARA PRESENTACIONES DE IMPACTO, 10 PARTICIPANTES, DURACIÓN: 16  HORAS.. ",EBC,EMP,SCO031124MF5,137114,23/05/2017,FACTURADO
464,g.velazquez004,22/05/2017,FACTURA,58000,IMPARTICIÓN DE PROGRAMA INSTITUCIONAL - MÓDULO 18.. ,EBC,EMP,ARG990409TB3,136910,22/05/2017,FACTURADO
568,g.velazquez004,22/05/2017,FACTURA,11600,"CONFERENCIA ""LA COMUNICACIÓN: UNA HABILIDAD DIRECTIVA PARA EL NEGOCIO"". ",EBC,EMP,SPK090225B28,136909,22/05/2017,FACTURADO
2056,g.velazquez004,22/05/2017,FACTURA,40600,COACHING EJECUTIVO: 10 SESIONES ENTRE 60 Y 90 MINUTOS POR SESIÓN.. ,EBC,EMP,TPE160212993,136908,22/05/2017,FACTURADO
1934,g.velazquez004,18/05/2017,FACTURA,22040,"CURSO CONFERENCIA PREVENCIÓN DEL ACOSO LABORAL, PARTICIPANTES: 65 PERSONAS; FECHA: 17 DE MAYO DE 2017.. ",EBC,EMP,SGM7602222H2,136540,18/05/2017,FACTURADO
1,g.velazquez004,11/05/2017,FACTURA,29000,DESARROLLO DE CONTENIDO. TALLER DE CULTURA DE SERVICIO.. ,EBC,EMP,MSE991014MY8,134588,11/05/2017,FACTURADO
2040,g.velazquez004,11/05/2017,FACTURA,40600,"CURSO TALLER ADMINISTRACIÓN DE PROYECTOS, PN4001551, 1 DE 2.. ",EBC,EMP,CLE140212H17,134531,11/05/2017,FACTURADO
1462,g.velazquez004,10/05/2017,FACTURA,56250,PROCESO DE COACHING EJECUTIVO CON EVALUACIÓN 360° INICIAL PARA 1 EJECUTIVO.. ,EBC,EMP,UPM940315SH3,134427,10/05/2017,FACTURADO
266,g.velazquez004,03/05/2017,FACTURA,265640,"Módulo 1 Videos- Certificación Gobierno,  Actualización libro electrónico- BMI, Impartición Módulo 1- Certificación Gobierno. Pedido:8800017746, Aceptación: 5002058519.. ",EBC,EMP,BBS001025HP2,133757,03/05/2017,CANCELADO
67,g.velazquez004,02/05/2017,FACTURA,41530.32,"DESARROLLO DE ARTÍCULOS 2017, 5 DE 12.. ",EBC,EMP,AME860107KD9,133606,02/05/2017,FACTURADO
210,g.velazquez004,02/05/2017,FACTURA,6660,"ESTA FACTURA SUSTITUYE AL FOLIO EMP124652 DE FECHA 01-03-2017 POR CONCEPTO DE: SERVICIOS EDUCATIVOS PARA LA LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS DEL ENTRETENIMIENTO, CON RECONOCIMIENTO DE VALIDEZ OFICIAL DE ESTUDIOS, 4TA. GENERACIÓN.. ",EBC,EMP,CRA120531P89,133605,02/05/2017,FACTURADO
1596,g.velazquez004,02/05/2017,FACTURA,95700,"ESTA FACTURA SUSTITUYE AL FOLIO EMP114439 DE FECHA 06-01-2017 POR CONCEPTO DE: PROGRAMA DE CAPACITACIÓN EXCEL, CORRESPONDIENTE A 5 SESIONES. (1 DE 2). ",EBC,EMP,BCO021111MZ6,133604,02/05/2017,FACTURADO
2003,g.velazquez004,27/04/2017,FACTURA,3325,"PAGO BANCO DERECHOS DE TITULACIÓN.PERIODO: 201683 POSGRADO SEPTIEMBRE - OCTUBRE  2016, CARRERA: ESPECIALIDAD EN NEGOCIOS DE FIANZAS Y GARANTÍAS, ID: M00304478, FECHA DE PAGO: 06-/04/16, NOMBRE: JUAN CARLOS MEJIA ESPINOZA.. ",EBC,EMP,ASA020220NQ7,133207,27/04/2017,FACTURADO
1974,g.velazquez004,20/04/2017,FACTURA,52200,"CURSO FORMACIÓN DE INSTRUCTORES, GRUPO 1, DEL 03 AL 05 DE ABRIL DE 2017.. ",EBC,EMP,ILD041028IT1,132264,20/04/2017,FACTURADO
245,g.velazquez004,19/04/2017,FACTURA,4918.4,LIDERAZGO TRANSFORMACIONAL OPERATIVO (LTO) Virtual.. ,EBC,EMP,OWI010726LC1,132056,19/04/2017,FACTURADO
1955,g.velazquez004,18/04/2017,FACTURA,42920,"TALLER DE BRANDING PERSONAL  Y PROFESIONAL, ASESORES INTERCERAMIC.. ",EBC,EMP,DIN971119GG6,131682,18/04/2017,FACTURADO
1934,g.velazquez004,18/04/2017,FACTURA,22040,"Servicio Curso Conferencia Prevención del Acoso Laboral. 70 Participantes, Fecha: 17 abril 2017.. ",EBC,EMP,SGM7602222H2,131665,18/04/2017,FACTURADO
164,g.velazquez004,17/04/2017,FACTURA,11310,ACTUALIZACIÓN CURSO E-LEARNING FARMACOVIGILANCIA 2017.. ,EBC,EMP,AST090619QJ8,130600,17/04/2017,FACTURADO
78,g.velazquez004,06/04/2017,FACTURA,12180,APLICACIÓN DE EVALUACIONES DE POTENCIAL 2017.. ,EBC,EMP,AIL0501146I3,129879,06/04/2017,FACTURADO
77,g.velazquez004,06/04/2017,FACTURA,16240,APLICACIÓN DE EVALUACIONES DE POTENCIAL 2017.. ,EBC,EMP,AIF050114QM3,129878,06/04/2017,FACTURADO
1436,g.velazquez004,06/04/2017,FACTURA,38860,"CURSO TALLER LIDERAZGO TRANSFORMADOR, 6 DE 6.. ",EBC,EMP,AIP111003SE0,129842,06/04/2017,FACTURADO
464,g.velazquez004,04/04/2017,FACTURA,12388.8,SERVICIOS ADMINISTRATIVOS DE CAPACITACIÓN.. ,EBC,EMP,ARG990409TB3,129614,04/04/2017,FACTURADO
67,g.velazquez004,04/04/2017,FACTURA,41530.32,"DESARROLLO DE ARTÍCULOS 2017, 4 DE 12.. ",EBC,EMP,AME860107KD9,129613,04/04/2017,FACTURADO
540,g.velazquez004,23/03/2017,FACTURA,72384,"PROGRAMA PARA EL DESARROLLO Y CAPACITACIÓN DEL TALENTO HUMANO, IMPARTIDO A 16 PARTICIPANTES, DEL 05 AL 07 DE DICIEMBRE 2016, DURACIÓN: 24 HORAS.. ",EBC,EMP,SAW9808016A3,128715,23/03/2017,FACTURADO
8,g.velazquez004,17/03/2017,FACTURA,937775,"SERVICIOS EDUCATIVOS PARA LA ESPECIALIDAD EN CONTROL INTERNO CON RECONOCIMIENTO DE VALIDEZ OFICIAL , OPERACIÓN 2017.. ",EBC,EMP,BIM011108DJ5,128169,17/03/2017,FACTURADO
8,g.velazquez004,17/03/2017,FACTURA,437784,"OPERACIÓN DE PROGRAMAS DE FORMACIÓN 2017, MÓDULOS DE DIPLOMADO.. ",EBC,EMP,BIM011108DJ5,128168,17/03/2017,FACTURADO
8,g.velazquez004,17/03/2017,FACTURA,937775,"SERVICIOS EDUCATIVOS PARA LA ESPECIALIDAD EN CONTROL INTERNO CON RECONOCIMIENTO DE VALIDEZ OFICIAL, OPERACIÓN 2017.. ",EBC,EMP,BIM011108DJ5,128167,17/03/2017,CANCELADO
78,g.velazquez004,17/03/2017,FACTURA,24360,APLICACIÓN DE EVALUACIONES DE POTENCIAL 2017.. ,EBC,EMP,AIL0501146I3,128162,17/03/2017,FACTURADO
77,g.velazquez004,17/03/2017,FACTURA,12180,APLICACIÓN DE EVALUACIONES DE POTENCIAL 2017.. ,EBC,EMP,AIF050114QM3,128160,17/03/2017,FACTURADO
464,g.velazquez004,13/03/2017,FACTURA,58000,IMPARTICIÓN DE PROGRAMA INSTITUCIONAL-LABORATORIO 2.. ,EBC,EMP,ARG990409TB3,126384,13/03/2017,FACTURADO
67,g.velazquez004,07/03/2017,FACTURA,41530.32,DESARROLLO DE ARTÍCULOS 2017. 3 DE 12.. ,EBC,EMP,AME860107KD9,125723,07/03/2017,FACTURADO
1436,g.velazquez004,07/03/2017,FACTURA,38860,CURSO-TALLER LIDERAZGO TRANSFORMADOR (5 DE 6).. ,EBC,EMP,AIP111003SE0,125722,07/03/2017,FACTURADO
879,g.velazquez004,07/03/2017,FACTURA,1613.56,"SERVICIOS ADMINISTRATIVOS DE CAPACITACIÓN , OTROS CARGOS CURSO EXCEL, MÉXICO 2016. O.C. PU00100489-1.. ",EBC,EMP,SME7811306Z7,125721,07/03/2017,FACTURADO
879,g.velazquez004,07/03/2017,FACTURA,19070.4,"ESTA FACTURA SUSTITUYE AL FOLIO EMP110368 DE FECHA 5 DE DICIEMBRE 2016 POR CONCEPTO DE: CURSO DE EXCEL 2016, 10 PARTICIPANTES. PEDIDO DE COMPRA: PU00096447-1.. ",EBC,EMP,SME7811306Z7,125720,07/03/2017,FACTURADO
879,g.velazquez004,07/03/2017,FACTURA,1102,ESTA FACTURA SUSTITUYE AL FOLIO EMP101525 DE FECHA 27 DE SEPTIEMBRE 2016 POR CONCEPTO DE: SERVICIOS ADMINISTRATIVOS DE CAPACITACIÓN PARA EL TALLER DE EXCEL BÁSICO INTERMEDIO Y TALLER EXCEL INTERMEDIO AVANZADO. INSTALACIONES EBC CAMPUS QUERÉTARO. O.C. 93093. ,EBC,EMP,SME7811306Z7,125719,07/03/2017,FACTURADO
464,g.velazquez004,06/03/2017,FACTURA,58000,IMPARTICIÓN DE PROGRAMA INSTITUCIONAL MÓDULO 17. ,EBC,EMP,ARG990409TB3,125611,06/03/2017,FACTURADO
210,g.velazquez004,01/03/2017,FACTURA,101922.75,"SERVICIOS EDUCATIVOS PARA LA LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS DEL ENTRETENIMIENTO, CON RECONOCIMIENTO DE VALIDEZ OFICIAL DE ESTUDIOS, 4TA GENERACIÓN.. ",EBC,EMP,CRA120531P89,124656,01/03/2017,FACTURADO
210,g.velazquez004,01/03/2017,FACTURA,4660,"SERVICIOS EDUCATIVOS PARA LA LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS DEL ENTRETENIMIENTO, CON RECONOCIMIENTO DE VALIDEZ OFICIAL DE ESTUDIOS, 4TA GENERACIÓN.. ",EBC,EMP,CRA120531P89,124655,01/03/2017,FACTURADO
210,g.velazquez004,01/03/2017,FACTURA,8655,"SERVICIOS EDUCATIVOS PARA LA LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS DEL ENTRETENIMIENTO, CON RECONOCIMIENTO DE VALIDEZ OFICIAL DE ESTUDIOS, 4TA GENERACIÓN.. ",EBC,EMP,CRA120531P89,124654,01/03/2017,FACTURADO
210,g.velazquez004,01/03/2017,FACTURA,6660,"SERVICIOS EDUCATIVOS PARA LA LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS DEL ENTRETENIMIENTO, CON RECONOCIMIENTO DE VALIDEZ OFICIAL DE ESTUDIOS, 4TA GENERACIÓN.. ",EBC,EMP,CRA120531P89,124653,01/03/2017,FACTURADO
210,g.velazquez004,01/03/2017,FACTURA,6660,"SERVICIOS EDUCATIVOS PARA LA LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS DEL ENTRETENIMIENTO, CON RECONOCIMIENTO DE VALIDEZ OFICIAL DE ESTUDIOS, 4TA GENERACIÓN.. ",EBC,EMP,CRA120531P89,124652,01/03/2017,FACTURADO
210,g.velazquez004,01/03/2017,FACTURA,280085,"SERVICIOS EDUCATIVOS PARA LA LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS DEL ENTRETENIMIENTO, CON RECONOCIMIENTO DE VALIDEZ OFICIAL DE ESTUDIOS, 4TA GENERACIÓN.. ",EBC,EMP,CRA120531P89,124651,01/03/2017,FACTURADO
210,g.velazquez004,01/03/2017,FACTURA,49000,"SERVICIOS EDUCATIVOS PARA LA LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS DEL ENTRETENIMIENTO, CON RECONOCIMIENTO DE VALIDEZ OFICIAL DE ESTUDIOS, 4TA GENERACIÓN.. ",EBC,EMP,CRA120531P89,124650,01/03/2017,FACTURADO
210,g.velazquez004,01/03/2017,FACTURA,41700,"SERVICIOS EDUCATIVOS PARA LA LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS DEL ENTRETENIMIENTO, CON RECONOCIMIENTO DE VALIDEZ OFICIAL DE ESTUDIOS, 4TA GENERACIÓN.. ",EBC,EMP,CRA120531P89,124649,01/03/2017,FACTURADO
122,g.velazquez004,01/03/2017,FACTURA,14500,"CURSO: REFORMAS FISCALES 2017, DURACIÓN: 5 HORAS, PARTICIPANTES POR GRUPO: 26. ",EBC,EMP,FFM9002036F0,124513,01/03/2017,FACTURADO
3,g.velazquez004,01/03/2017,FACTURA,52200,PROGRAMA DE CAPACITACIÓN OUTPLACEMENT.. ,EBC,EMP,AAC030707E87,124512,01/03/2017,FACTURADO
464,g.velazquez004,22/02/2017,FACTURA,58000,ESTA FACTURA SUSTITUYE AL FOLIO EMP110140 DE FECHA 01-12-2016 POR CONCEPTO DE: IMPARTICIÓN DEL PROGRAMA DE FORMACIÓN INSTITUCIONAL- MÓDULO 16.. ,EBC,EMP,ARG990409TB3,123140,22/02/2017,FACTURADO
1588,g.velazquez004,22/02/2017,FACTURA,27608,"ESTA FACTURA SUSTITUYE AL FOLIO EMP111282 DE FECHA 13-12-2016 POR CONCEPTO DE : CERTIFICACIÓN EBC EN VENTAS, 1 DE 2.. ",EBC,EMP,CCI960315U75,123139,22/02/2017,FACTURADO
1462,g.velazquez004,21/02/2017,FACTURA,56250,PROCESO DE COACHING EJECUTIVO CON EVALUACIÓN 360 INICIAL PARA UN DIRECTIVO.. ,EBC,EMP,UPM940315SH3,122908,21/02/2017,FACTURADO
464,g.velazquez004,13/02/2017,FACTURA,71456,DESARROLLO E IMPARTICIÓN DEL TALLER CONTACT CENTER.. ,EBC,EMP,ARG990409TB3,120637,13/02/2017,FACTURADO
1436,g.velazquez004,07/02/2017,FACTURA,38860,"CURSO TALLER LIDERAZGO TRANSFORMADOR, 4 DE 6.. ",EBC,EMP,AIP111003SE0,119548,07/02/2017,FACTURADO
67,g.velazquez004,07/02/2017,FACTURA,41530.32,"DESARROLLO DE ARTÍCULOS 2017, 2 DE 12.. ",EBC,EMP,AME860107KD9,119546,07/02/2017,FACTURADO
210,g.velazquez004,02/02/2017,FACTURA,40728,"SERVICIOS EDUCATIVOS PARA LA LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS DEL ENTRETENIMIENTO, CON RECONOCIMIENTO DE VALIDEZ OFICIAL DE ESTUDIOS, 4TA GENERACIÓN.. ",EBC,EMP,CRA120531P89,119288,02/02/2017,FACTURADO
210,g.velazquez004,02/02/2017,FACTURA,41400,"SERVICIOS EDUCATIVOS PARA LA LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS DEL ENTRETENIMIENTO, CON RECONOCIMIENTO DE VALIDEZ OFICIAL DE ESTUDIOS, 4TA GENERACIÓN.. ",EBC,EMP,CRA120531P89,119287,02/02/2017,FACTURADO
210,g.velazquez004,02/02/2017,FACTURA,13305,"SERVICIOS EDUCATIVOS PARA LA LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS DEL ENTRETENIMIENTO, CON RECONOCIMIENTO DE VALIDEZ OFICIAL DE ESTUDIOS, 4TA GENERACIÓN.. ",EBC,EMP,CRA120531P89,119286,02/02/2017,FACTURADO
210,g.velazquez004,02/02/2017,FACTURA,14700,"SERVICIOS EDUCATIVOS PARA LA LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS DEL ENTRETENIMIENTO, CON RECONOCIMIENTO DE VALIDEZ OFICIAL DE ESTUDIOS, 4TA GENERACIÓN.. ",EBC,EMP,CRA120531P89,119285,02/02/2017,FACTURADO
210,g.velazquez004,02/02/2017,FACTURA,101331,"SERVICIOS EDUCATIVOS PARA LA LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS DEL ENTRETENIMIENTO, CON RECONOCIMIENTO DE VALIDEZ OFICIAL DE ESTUDIOS, 4TA GENERACIÓN.. ",EBC,EMP,CRA120531P89,119284,02/02/2017,FACTURADO
210,g.velazquez004,02/02/2017,FACTURA,192720,"SERVICIOS EDUCATIVOS PARA LA LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS DEL ENTRETENIMIENTO, CON RECONOCIMIENTO DE VALIDEZ OFICIAL DE ESTUDIOS, 4TA GENERACIÓN.. ",EBC,EMP,CRA120531P89,119283,02/02/2017,FACTURADO
210,g.velazquez004,02/02/2017,FACTURA,5535,"SERVICIOS EDUCATIVOS PARA LA LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS DEL ENTRETENIMIENTO, CON RECONOCIMIENTO DE VALIDEZ OFICIAL DE ESTUDIOS, 4TA GENERACIÓN.. ",EBC,EMP,CRA120531P89,119282,02/02/2017,FACTURADO
210,g.velazquez004,02/02/2017,FACTURA,10280,"SERVICIOS EDUCATIVOS PARA LA LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS DEL ENTRETENIMIENTO, CON RECONOCIMIENTO DE VALIDEZ OFICIAL DE ESTUDIOS, 4TA GENERACIÓN.. ",EBC,EMP,CRA120531P89,119281,02/02/2017,FACTURADO
210,g.velazquez004,02/02/2017,FACTURA,7905,"SERVICIOS EDUCATIVOS PARA LA LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS DEL ENTRETENIMIENTO, CON RECONOCIMIENTO DE VALIDEZ OFICIAL DE ESTUDIOS, 4TA GENERACIÓN.. ",EBC,EMP,CRA120531P89,119280,02/02/2017,FACTURADO
